Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team
364,Moises Parra Gutierrez,ESP,FW,Getafe,20,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9
365,Javier Pastore,ARG,MF,Elche,33,1989,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7
366,Gabriel Paulista,BRA,DF,Valencia,32,1990,10,7,579,6.4,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,17
367,Alfonso Pedraza,ESP,DF,Villarreal,26,1996,10,10,805,8.9,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,19
368,Pedri,ESP,MF,Barcelona,20,2002,14,12,1025,11.4,3,0,3,0,0,0,0,0.26,0.0,0.26,0.26,0.26,3
369,Rubén Peña,ESP,"DF,MF",Osasuna,31,1991,10,6,563,6.3,0,1,0,0,0,1,1,0.0,0.16,0.16,0.0,0.16,12
370,Alberto Perea,ESP,MF,Cadiz,31,1990,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
371,Carles Pérez,ESP,"FW,MF",Celta Vigo,24,1998,14,7,599,6.7,0,2,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,6
372,Francisco Perez,ESP,"FW,DF",Valencia,20,2002,2,0,21,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,17
373,Kike Pérez,ESP,MF,Valladolid,25,1997,13,11,966,10.7,0,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,18
374,Lucas Pérez,ESP,FW,Cadiz,34,1988,13,5,593,6.6,2,0,2,0,0,3,0,0.3,0.0,0.3,0.3,0.3,5
375,Luis Pérez,ESP,DF,Valladolid,27,1995,5,5,387,4.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,18
376,Germán Pezzella,ARG,DF,Betis,31,1991,12,10,911,10.1,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,4
377,Yeremi Pino,ESP,"MF,FW",Villarreal,20,2002,13,9,697,7.7,1,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,19
378,Gerard Piqué,ESP,DF,Barcelona,35,1987,6,4,384,4.3,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,3
379,Óscar Plano,ESP,"FW,MF",Valladolid,31,1991,14,8,829,9.2,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,18
380,Gonzalo Plata,ECU,"FW,MF",Valladolid,22,2000,10,6,592,6.6,0,2,0,0,0,0,0,0.0,0.3,0.3,0.0,0.3,18
381,Ezequiel Ponce,ARG,FW,Elche,25,1997,13,4,512,5.7,2,0,2,0,0,2,0,0.35,0.0,0.35,0.35,0.35,7
382,Francisco Portillo,ESP,"MF,FW",Almeria,32,1990,10,1,201,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
383,Portu,ESP,"MF,DF",Getafe,30,1992,11,3,384,4.3,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,9
384,José Pozo,ESP,MF,Rayo Vallecano,26,1996,6,1,75,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13
385,Alejandro Pozo Pozo,ESP,DF,Almeria,23,1999,10,6,580,6.4,0,1,0,0,0,0,0,0.0,0.16,0.16,0.0,0.16,0
386,Abdón Prats,ESP,"FW,MF",Mallorca,30,1992,10,1,137,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11
387,Javi Puado,ESP,"FW,MF",Espanyol,24,1998,13,8,749,8.3,1,0,1,0,0,0,0,0.12,0.0,0.12,0.12,0.12,8
388,Arnau Puigmal,ESP,"MF,DF",Almeria,21,2001,7,1,241,2.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0
389,Domingos Quina,POR,MF,Elche,23,1999,9,2,268,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7
390,Antonio Raillo,ESP,DF,Mallorca,31,1991,13,13,1170,13.0,1,0,1,0,0,5,0,0.08,0.0,0.08,0.08,0.08,11
391,Predrag Rajković,SRB,GK,Mallorca,27,1995,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,11
392,Ivan Rakitić,CRO,MF,Sevilla,34,1988,11,6,525,5.8,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,16
393,Largie Ramazani,BEL,FW,Almeria,21,2001,14,9,799,8.9,2,0,2,0,0,4,0,0.23,0.0,0.23,0.23,0.23,0
394,Raphinha,BRA,FW,Barcelona,25,1996,13,6,570,6.3,2,2,2,0,0,1,0,0.32,0.32,0.63,0.32,0.63,3
395,Sergio Reguilón,ESP,DF,Atletico Madrid,25,1996,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
396,Reinier,BRA,"MF,FW",Girona,20,2002,7,3,313,3.5,1,0,1,0,0,1,0,0.29,0.0,0.29,0.29,0.29,10
397,Karim Rekik,NED,DF,Sevilla,28,1994,7,6,423,4.7,1,1,1,0,0,1,0,0.21,0.21,0.43,0.21,0.43,16
398,Álex Remiro,ESP,GK,Real Sociedad,27,1995,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15
399,Alejandro Revuelta Montero,ESP,DF,Getafe,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9
400,Chadi Riad,ESP,MF,Barcelona,19,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
401,Nico Ribaudo,ESP,"FW,MF",Espanyol,21,2001,9,3,178,2.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8
402,Diego Rico,ESP,DF,Real Sociedad,29,1993,7,6,594,6.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15
403,Rodrigo Riquelme,ESP,"MF,FW",Girona,22,2000,13,9,796,8.8,3,0,3,0,0,0,0,0.34,0.0,0.34,0.34,0.34,10
404,Sergi Roberto,ESP,DF,Barcelona,30,1992,9,3,377,4.2,2,0,2,0,0,1,0,0.48,0.0,0.48,0.48,0.48,3
405,Lucas Robertone,ARG,MF,Almeria,25,1997,14,13,1016,11.3,1,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,0
406,Enzo Roco,CHI,DF,Elche,30,1992,11,10,795,8.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7
407,Rodrigo,ESP,FW,Betis,22,2000,11,10,696,7.7,1,0,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,4
408,Ángel Rodríguez,ESP,"FW,MF",Mallorca,35,1987,5,1,149,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11
409,Óscar Rodríguez Arnaiz,ESP,MF,Celta Vigo,24,1998,13,12,999,11.1,2,0,2,0,0,2,0,0.18,0.0,0.18,0.18,0.18,6
410,Dani Rodríguez,ESP,MF,Mallorca,34,1988,13,8,689,7.7,0,2,0,0,0,5,0,0.0,0.26,0.26,0.0,0.26,11
411,Guido Rodríguez,ARG,MF,Betis,28,1994,12,12,1043,11.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4
412,Rodrygo,BRA,FW,Real Madrid,21,2001,12,10,912,10.1,4,4,3,1,1,1,0,0.39,0.39,0.79,0.3,0.69,14
413,Iván Romero,ESP,MF,Sevilla,21,2001,1,0,11,0.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16
414,Oriol Romeu,ESP,MF,Girona,31,1991,11,11,990,11.0,1,0,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09,10
415,Rubén,ESP,"MF,FW",Espanyol,21,2001,4,3,244,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
416,Antonio Rüdiger,GER,DF,Real Madrid,29,1993,12,7,686,7.6,1,0,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,14
417,Aitor Ruibal,ESP,"DF,FW",Betis,26,1996,13,5,563,6.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4
418,Víctor Ruiz,ESP,DF,Betis,33,1989,4,3,341,3.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
419,Gerónimo Rulli,ARG,GK,Villarreal,30,1992,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,19
420,Franco Russo,ARG,DF,Mallorca,28,1994,2,1,77,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11
421,Youssouf Sabaly,SEN,DF,Betis,29,1993,9,7,630,7.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
422,Umar Sadiq,NGA,FW,Almeria,25,1997,3,3,240,2.7,2,0,2,0,0,1,0,0.75,0.0,0.75,0.75,0.75,0
423,Umar Sadiq,NGA,FW,Real Sociedad,25,1997,2,1,82,0.9,1,0,1,0,0,0,0,1.1,0.0,1.1,1.1,1.1,15
424,Samuel Sáiz,ESP,"MF,FW",Girona,31,1991,6,1,193,2.1,1,0,0,1,1,1,0,0.47,0.0,0.47,0.0,0.0,10
425,Salvi,ESP,"FW,MF",Rayo Vallecano,31,1991,10,3,264,2.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,13
426,Samuel,BRA,"FW,MF",Valencia,22,1999,14,14,1215,13.5,2,0,2,0,0,3,0,0.15,0.0,0.15,0.15,0.15,17
427,Fede San Emeterio,ESP,MF,Cadiz,25,1997,13,11,789,8.8,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,5
428,Oihan Sancet,ESP,MF,Athletic Club,22,2000,14,13,938,10.4,3,0,2,1,1,2,0,0.29,0.0,0.29,0.19,0.19,1
429,Antonio Sánchez,ESP,MF,Mallorca,25,1997,14,7,580,6.4,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,11
430,Iván Sánchez,ESP,"FW,MF",Valladolid,30,1992,11,7,555,6.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
431,Javi Sánchez,ESP,DF,Valladolid,25,1997,12,12,1003,11.1,1,0,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09,18
432,Manuel Sánchez,ESP,DF,Osasuna,22,2000,10,4,470,5.2,0,1,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19,12
433,Esteban Saveljich,MNE,FW,Rayo Vallecano,31,1991,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13
434,Stefan Savić,MNE,DF,Atletico Madrid,31,1991,10,10,885,9.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2
435,Jaime Seoane,ESP,MF,Getafe,25,1997,9,2,273,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9
436,David Silva,ESP,MF,Real Sociedad,36,1986,12,11,816,9.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15
437,Rui Silva,POR,GK,Betis,28,1994,12,12,1080,12.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4
438,Unai Simón,ESP,GK,Athletic Club,25,1997,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1
439,Rubén Sobrino,ESP,"MF,FW",Cadiz,30,1992,11,9,799,8.9,1,0,1,0,0,3,0,0.11,0.0,0.11,0.11,0.11,5
440,Alex Sola,ESP,DF,Real Sociedad,23,1999,5,3,275,3.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15
441,Augusto Solari,ARG,"MF,FW",Celta Vigo,30,1992,6,2,187,2.1,0,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,6
442,Carlos Soler,ESP,MF,Valencia,25,1997,3,3,242,2.7,1,0,0,1,1,0,0,0.37,0.0,0.37,0.0,0.0,17
443,David Soria,ESP,GK,Getafe,29,1993,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9
444,Dyego Sousa,POR,FW,Almeria,33,1989,10,2,306,3.4,0,1,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,0
445,Vinicius Souza,BRA,MF,Espanyol,23,1999,14,14,1188,13.2,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,8
446,Jørgen Strand Larsen,NOR,FW,Celta Vigo,22,2000,10,9,690,7.7,0,2,0,0,0,3,0,0.0,0.26,0.26,0.0,0.26,6
447,Cristhian Stuani,URU,FW,Girona,36,1986,10,3,419,4.7,4,0,1,3,4,2,0,0.86,0.0,0.86,0.21,0.21,10
448,Damián Suárez,URU,DF,Getafe,34,1988,7,7,549,6.1,1,0,1,0,0,2,0,0.16,0.0,0.16,0.16,0.16,9
449,Mario Suárez,ESP,"DF,MF",Rayo Vallecano,35,1987,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13
450,Suso,ESP,"FW,MF",Sevilla,29,1993,4,0,88,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16
451,Williot Swedberg,SWE,MF,Celta Vigo,18,2004,1,0,34,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,6
452,Alexander Sørloth,NOR,FW,Real Sociedad,27,1995,10,10,820,9.1,4,1,4,0,0,1,0,0.44,0.11,0.55,0.44,0.55,15
453,Renato Tapia,PER,MF,Celta Vigo,27,1995,11,7,638,7.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6
454,Aurélien Tchouaméni,FRA,MF,Real Madrid,22,2000,12,11,900,10.0,0,2,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,14
455,Alex Telles,BRA,DF,Sevilla,29,1992,13,7,753,8.4,0,2,0,0,0,4,0,0.0,0.24,0.24,0.0,0.24,16
456,Marc-André ter Stegen,GER,GK,Barcelona,30,1992,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
457,Ramón Terrats,ESP,MF,Girona,22,2000,6,1,141,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10
458,Pablo Torre,ESP,FW,Barcelona,19,2003,1,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
459,Ferrán Torres,ESP,"FW,MF",Barcelona,22,2000,13,6,569,6.3,2,0,2,0,0,3,0,0.32,0.0,0.32,0.32,0.32,3
460,Óliver Torres,ESP,"MF,FW",Sevilla,28,1994,12,12,850,9.4,3,0,3,0,0,1,0,0.32,0.0,0.32,0.32,0.32,16
461,Pau Torres,ESP,DF,Villarreal,25,1997,13,13,1170,13.0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,19
462,Roberto Torres,ESP,"FW,MF",Osasuna,33,1989,2,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12
463,Lucas Torró,ESP,MF,Osasuna,28,1994,14,14,1122,12.5,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,12
464,Nabil Touaizi,MAR,MF,Espanyol,21,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
465,Óscar Trejo,ARG,"MF,FW",Rayo Vallecano,34,1988,12,11,840,9.3,2,2,1,1,2,6,0,0.21,0.21,0.43,0.11,0.32,13
466,Manu Trigueros,ESP,"MF,FW",Villarreal,31,1991,6,2,250,2.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,19
467,Beñat Turrientes,ESP,"MF,FW",Real Sociedad,20,2002,6,1,106,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15
468,Enes Ünal,TUR,FW,Getafe,25,1997,14,14,1212,13.5,4,2,4,0,1,3,0,0.3,0.15,0.45,0.3,0.45,9
469,Oscar Ureña,ESP,MF,Girona,19,2003,3,1,100,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10
470,Óscar Valentín,ESP,MF,Rayo Vallecano,28,1994,14,11,957,10.6,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,13
471,Valery,ESP,"MF,DF",Girona,23,1999,9,4,398,4.4,0,1,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,10
472,Enrique Valiente,ESP,DF,Sevilla,20,2002,5,3,278,3.1,0,1,0,0,0,1,1,0.0,0.32,0.32,0.0,0.32,16
473,Martin Valjent,SVK,DF,Mallorca,26,1995,13,13,1155,12.8,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,11
474,Manu Vallejo,ESP,"FW,MF",Girona,25,1997,7,2,206,2.3,0,1,0,0,0,0,0,0.0,0.44,0.44,0.0,0.44,10
475,Federico Valverde,URU,"FW,MF",Real Madrid,24,1998,14,12,1108,12.3,6,2,6,0,0,1,0,0.49,0.16,0.65,0.49,0.65,14
476,Jesus Vazquez,ESP,"DF,MF",Valencia,19,2003,4,2,148,1.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,17
477,Kevin Vázquez,ESP,MF,Celta Vigo,29,1993,1,1,71,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6
478,Lucas Vázquez,ESP,DF,Real Madrid,31,1991,8,4,368,4.1,2,0,2,0,0,1,0,0.49,0.0,0.49,0.49,0.49,14
479,Gabriel Veiga,ESP,MF,Celta Vigo,20,2002,13,6,577,6.4,3,1,3,0,0,3,1,0.47,0.16,0.62,0.47,0.62,6
480,Unai Vencedor Paris,ESP,MF,Athletic Club,22,2000,6,0,141,1.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1
481,Gonzalo Verdú,ESP,DF,Elche,34,1988,6,5,388,4.3,1,0,1,0,0,1,1,0.23,0.0,0.23,0.23,0.23,7
482,Mikel Vesga,ESP,MF,Athletic Club,29,1993,13,10,925,10.3,2,2,1,1,1,2,0,0.19,0.19,0.39,0.1,0.29,1
483,Aleix Vidal,ESP,"FW,MF",Espanyol,33,1989,9,4,446,5.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,8
484,Nacho Vidal,ESP,DF,Osasuna,27,1995,13,10,891,9.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,12
485,Toni Villa,ESP,MF,Valladolid,27,1995,2,1,91,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
486,Toni Villa,ESP,"MF,FW",Girona,27,1995,10,3,289,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,10
487,Asier Villalibre,ESP,FW,Athletic Club,25,1997,4,1,92,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1
488,Daniel Vivian,ESP,DF,Athletic Club,23,1999,8,7,635,7.1,1,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,1
489,Shon Weissman,ISR,FW,Valladolid,26,1996,11,5,561,6.2,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,18
490,Iñaki Williams,GHA,FW,Athletic Club,28,1994,14,14,1140,12.7,5,1,5,0,1,0,0,0.39,0.08,0.47,0.39,0.47,1
491,Nico Williams,ESP,FW,Athletic Club,20,2002,14,13,1069,11.9,3,3,3,0,0,0,0,0.25,0.25,0.51,0.25,0.51,1
492,Axel Witsel,BEL,"DF,MF",Atletico Madrid,33,1989,14,12,1067,11.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2
493,Jawad El Yamiq,MAR,DF,Valladolid,30,1992,8,5,438,4.9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,18
494,Joseba Zaldúa,ESP,DF,Cadiz,30,1992,10,7,639,7.1,0,1,0,0,0,4,0,0.0,0.14,0.14,0.0,0.14,5
495,Oier Zarraga,ESP,MF,Athletic Club,23,1999,9,1,225,2.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1
496,Igor Zubeldia,ESP,DF,Real Sociedad,25,1997,10,8,717,8.0,1,0,1,0,0,4,0,0.13,0.0,0.13,0.13,0.13,15
497,Martín Zubimendi,ESP,MF,Real Sociedad,23,1999,14,13,1151,12.8,1,2,1,0,0,4,0,0.08,0.16,0.23,0.08,0.23,15
498,Haitam Abaida,MAR,MF,Malaga,20,2002,4,1,103,1.1,1,0,1,0,0,0,0,0.87,0.0,0.87,0.87,0.87,33
499,Sabit Abdulai,GHA,"MF,DF",Ponferradina,23,1999,14,7,607,6.7,0,1,0,0,0,4,0,0.0,0.15,0.15,0.0,0.15,35
500,Amir Abedzadeh,IRN,GK,Ponferradina,29,1993,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35
501,Abel,ESP,"MF,DF",Oviedo,22,2000,17,10,957,10.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,34
502,Abdelkabir Abqar,MAR,DF,Alaves,23,1999,17,16,1323,14.7,1,0,1,0,0,5,0,0.07,0.0,0.07,0.07,0.07,20
503,Daniel Aceves,MEX,DF,Oviedo,21,2001,10,10,786,8.7,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,34
504,Paris Adot,ESP,DF,Ponferradina,32,1990,16,15,1344,14.9,0,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,35
505,Lumor Agbenyenu,GHA,"MF,DF",Malaga,26,1996,2,2,102,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
506,Marc Aguado,ESP,MF,Andorra,22,2000,15,15,1279,14.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,22
507,Lucas Ahijado,ESP,DF,Oviedo,27,1995,18,17,1539,17.1,0,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,34
508,Matheus Aiás,BRA,"FW,MF",Racing Sant,25,1996,14,6,756,8.4,1,0,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,36
509,Ager Aketxe,ESP,MF,Eibar,28,1993,11,5,468,5.2,0,6,0,0,0,3,0,0.0,1.15,1.15,0.0,1.15,26
510,Alberto,ESP,DF,Lugo,29,1992,13,13,1144,12.7,2,0,2,0,0,1,2,0.16,0.0,0.16,0.16,0.16,32
511,Pedro Alcalá,ESP,DF,Cartagena,33,1989,16,16,1359,15.1,2,0,2,0,0,4,1,0.13,0.0,0.13,0.13,0.13,24
512,Aldair,POR,"MF,DF",Ponferradina,23,1999,8,4,347,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,35
513,Aldasoro,ESP,"MF,DF",Racing Sant,23,1999,13,3,420,4.7,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.0,36
514,Diego Alende,ESP,DF,Andorra,25,1997,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22
515,Alfon,ESP,FW,Racing Sant,23,1999,7,2,217,2.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36
516,Christos Almpanis,GRE,FW,Andorra,28,1994,12,8,651,7.2,0,2,0,0,0,0,0,0.0,0.28,0.28,0.0,0.28,22
517,Javier Alonso,ESP,MF,Tenerife,24,1998,9,5,446,5.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,38
518,Julio Alonso,ESP,DF,Albacete,23,1998,17,15,1353,15.0,0,1,0,0,0,3,1,0.0,0.07,0.07,0.0,0.07,21
519,Adrià Altimira,ESP,"FW,DF",Andorra,21,2001,17,11,1124,12.5,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,22
520,Altube,ESP,GK,Albacete,22,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21
521,Cristian Álvarez,ARG,GK,Zaragoza,37,1985,15,15,1350,15.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,41
522,Fran Álvarez,ESP,MF,Albacete,24,1998,10,3,274,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21
523,Iker Álvarez,AND,GK,Villarreal B,21,2001,5,5,450,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40
524,Sergio Álvarez,ESP,"MF,DF",Eibar,30,1992,18,18,1524,16.9,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,26
525,Jair Amador,EQG,DF,Zaragoza,33,1989,17,16,1420,15.8,2,0,2,0,0,3,0,0.13,0.0,0.13,0.13,0.13,41
526,Jose Amo,ESP,DF,Ponferradina,24,1998,13,11,902,10.0,1,0,1,0,0,6,0,0.1,0.0,0.1,0.1,0.1,35
527,Florin Andone,ROU,FW,Las Palmas,29,1993,8,4,279,3.1,2,0,2,0,0,3,0,0.65,0.0,0.65,0.65,0.65,29
528,Andy,ESP,MF,Burgos,32,1990,2,2,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23
529,José Ángel Carrillo,ESP,FW,Huesca,28,1994,10,6,459,5.1,2,0,2,0,0,0,0,0.39,0.0,0.39,0.39,0.39,28
530,José Ángel,ESP,DF,Sporting Gijon,33,1989,15,13,1177,13.1,0,4,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,37
531,Miguel Ángel Rubio,ESP,DF,Granada,24,1998,17,16,1441,16.0,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,27
532,Hugo Anglada,ESP,DF,Huesca,18,2004,3,3,225,2.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28
533,Paul Anton,ROU,MF,Ponferradina,31,1991,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35
534,José Antonio Ríos,ESP,DF,Eibar,32,1990,5,3,301,3.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,26
535,Juan Antonio Ros,ESP,"DF,MF",Albacete,26,1996,2,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21
536,Arvin Appiah,ENG,MF,Tenerife,21,2001,10,3,396,4.4,0,1,0,0,0,0,0,0.0,0.23,0.23,0.0,0.23,38
537,Kévin Appin,MTQ,"MF,FW",UD Ibiza,24,1998,15,10,913,10.1,0,2,0,0,0,3,0,0.0,0.2,0.2,0.0,0.2,39
538,Arana,ESP,FW,Villarreal B,22,2000,10,3,351,3.9,2,0,2,0,0,2,0,0.51,0.0,0.51,0.51,0.51,40
539,Anaitz Arbilla,ESP,DF,Eibar,35,1987,13,11,1037,11.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,26
540,Jesús Areso,ESP,"DF,MF",Burgos,23,1999,13,8,710,7.9,0,2,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,23
541,Matias Arezo,URU,"MF,FW",Granada,20,2002,8,2,204,2.3,1,0,1,0,0,1,0,0.44,0.0,0.44,0.44,0.44,27
542,David Argüelles,ESP,DF,Sporting Gijon,20,2002,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37
543,José Arnaiz,ESP,"FW,MF",Leganes,27,1995,19,19,1652,18.4,4,1,4,0,0,2,0,0.22,0.05,0.27,0.22,0.27,30
544,Óscar Arribas,ESP,"MF,FW",Cartagena,24,1998,10,2,257,2.9,1,0,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,24
545,Anderson Arroyo,COL,DF,Alaves,23,1999,8,6,579,6.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20
